id,programa,semestre,jornada,promedio_acumulado,promedio_ultimo,materias_perdidas,dificultad_alta,pct_creditos_aprobados,acceso_plataforma,frecuencia_semanal,frecuencia_baja,participacion_baja,no_consulta_profesores,estrato,estrato_bajo,trabaja,horas_semanales,trabaja_mucho,dependientes,dificultad_pago,dificultad_pago_alta,piensa_desertar_frecuente,piensa_desertar_alguna_vez,satisfaccion_programa,satisfaccion_baja,probabilidad_continuar_percibida,probabilidad_continuar_baja,claridad_baja,evento_estresante,indice_riesgo_academico,indice_engagement,target_desercion,fecha_procesamiento
EST_CAL_001,Psicologia,3,Virtual,3.34,3.26,1,0,0.3,1,10,0,0,0,3,0,1,19,0,0,1,0,0,1,6,0,0.5,0,0,1,0.5,0.5,,2026-02-28T18:55:58.676610
EST_CAL_002,Contaduria,8,Virtual,4.35,4.31,0,0,0.3,1,10,0,0,0,3,0,0,0,0,0,0,0,0,0,10,0,0.95,0,0,1,0.5,0.5,,2026-02-28T18:55:58.676610
EST_CAL_003,Ingenieria_Sistemas,1,Diurna,3.01,2.76,2,0,0.3,1,10,0,0,0,3,0,1,23,1,0,1,0,0,1,5,0,0.5,0,0,1,0.5,0.5,,2026-02-28T18:55:58.676610
EST_CAL_004,Psicologia,3,Diurna,3.36,3.34,2,0,0.3,1,10,0,0,0,3,0,1,19,0,0,1,0,0,1,4,1,0.5,0,0,1,0.5,0.5,,2026-02-28T18:55:58.676610
EST_CAL_005,Administracion,9,Diurna,3.17,3.02,2,0,0.3,1,10,0,0,0,3,0,1,21,1,0,1,0,0,1,6,0,0.5,0,0,1,0.5,0.5,,2026-02-28T18:55:58.676610
EST_CAL_006,Psicologia,6,Nocturna,4.17,4.03,0,0,0.3,1,10,0,0,0,3,0,0,0,0,0,0,0,0,0,10,0,0.95,0,0,1,0.5,0.5,,2026-02-28T18:55:58.677611
EST_CAL_007,Derecho,2,Virtual,2.19,2.04,7,1,0.3,0,2,1,0,0,1,1,1,41,1,0,2,1,1,0,1,1,0.1,1,0,1,0.5,0.5,,2026-02-28T18:55:58.677611
EST_CAL_008,Derecho,9,Nocturna,4.21,3.96,0,0,0.3,1,10,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0.95,0,0,1,0.5,0.5,,2026-02-28T18:55:58.677611
EST_CAL_009,Psicologia,6,Virtual,4.21,4.15,0,0,0.3,1,10,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0.95,0,0,1,0.5,0.5,,2026-02-28T18:55:58.677611
EST_CAL_010,Contaduria,5,Nocturna,3.39,3.3000000000000003,1,0,0.3,1,10,0,0,0,3,0,1,25,1,0,1,0,0,1,5,0,0.5,0,0,1,0.5,0.5,,2026-02-28T18:55:58.677611
EST_CAL_011,Ingenieria_Sistemas,9,Virtual,1.67,1.47,5,1,0.3,0,2,1,0,0,1,1,1,42,1,0,2,1,1,0,1,1,0.1,1,0,1,0.5,0.5,,2026-02-28T18:55:58.677611
EST_CAL_012,Derecho,7,Nocturna,3.1,2.88,2,0,0.3,1,10,0,0,0,3,0,1,15,0,0,1,0,0,1,4,1,0.5,0,0,1,0.5,0.5,,2026-02-28T18:55:58.677611
EST_CAL_013,Psicologia,7,Diurna,4.6,4.449999999999999,0,0,0.3,1,10,0,0,0,3,0,0,0,0,0,0,0,0,0,10,0,0.95,0,0,1,0.5,0.5,,2026-02-28T18:55:58.678611
EST_CAL_014,Ingenieria_Sistemas,2,Virtual,3.2,2.93,2,0,0.3,1,10,0,0,0,3,0,1,15,0,0,1,0,0,1,4,1,0.5,0,0,1,0.5,0.5,,2026-02-28T18:55:58.678611
EST_CAL_015,Ingenieria_Sistemas,5,Virtual,3.36,3.2199999999999998,2,0,0.3,1,10,0,0,0,3,0,1,22,1,0,1,0,0,1,6,0,0.5,0,0,1,0.5,0.5,,2026-02-28T18:55:58.678611
EST_CAL_016,Ingenieria_Sistemas,7,Diurna,4.84,4.75,0,0,0.3,1,10,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0.95,0,0,1,0.5,0.5,,2026-02-28T18:55:58.678611
EST_CAL_017,Contaduria,6,Diurna,4.41,4.34,0,0,0.3,1,10,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0.95,0,0,1,0.5,0.5,,2026-02-28T18:55:58.678611
EST_CAL_018,Ingenieria_Sistemas,4,Virtual,1.6,1.56,6,1,0.3,0,2,1,0,0,1,1,1,40,1,0,2,1,1,0,2,1,0.1,1,0,1,0.5,0.5,,2026-02-28T18:55:58.678611
EST_CAL_019,Contaduria,6,Virtual,1.96,1.76,7,1,0.3,0,2,1,0,0,1,1,1,48,1,0,2,1,1,0,2,1,0.1,1,0,1,0.5,0.5,,2026-02-28T18:55:58.678611
EST_CAL_020,Derecho,10,Nocturna,3.14,3.0300000000000002,1,0,0.3,1,10,0,0,0,3,0,1,22,1,0,1,0,0,1,5,0,0.5,0,0,1,0.5,0.5,,2026-02-28T18:55:58.678611
EST_CAL_021,Psicologia,5,Virtual,4.73,4.710000000000001,0,0,0.3,1,10,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0.95,0,0,1,0.5,0.5,,2026-02-28T18:55:58.679611
EST_CAL_022,Derecho,3,Nocturna,4.09,3.9499999999999997,0,0,0.3,1,10,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0.95,0,0,1,0.5,0.5,,2026-02-28T18:55:58.679611
EST_CAL_023,Administracion,5,Virtual,3.09,2.8099999999999996,2,0,0.3,1,10,0,0,0,3,0,1,21,1,0,1,0,0,1,4,1,0.5,0,0,1,0.5,0.5,,2026-02-28T18:55:58.679611
EST_CAL_024,Contaduria,2,Nocturna,4.23,3.99,0,0,0.3,1,10,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0.95,0,0,1,0.5,0.5,,2026-02-28T18:55:58.679611
EST_CAL_025,Ingenieria_Sistemas,9,Diurna,4.66,4.5600000000000005,0,0,0.3,1,10,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0.95,0,0,1,0.5,0.5,,2026-02-28T18:55:58.679611
EST_CAL_026,Psicologia,4,Virtual,4.84,4.79,0,0,0.3,1,10,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0.95,0,0,1,0.5,0.5,,2026-02-28T18:55:58.679611
EST_CAL_027,Psicologia,8,Nocturna,4.31,4.21,0,0,0.3,1,10,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0.95,0,0,1,0.5,0.5,,2026-02-28T18:55:58.679611
EST_CAL_028,Contaduria,4,Diurna,4.46,4.21,0,0,0.3,1,10,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0.95,0,0,1,0.5,0.5,,2026-02-28T18:55:58.680611
EST_CAL_029,Ingenieria_Sistemas,7,Nocturna,4.72,4.7,0,0,0.3,1,10,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0.95,0,0,1,0.5,0.5,,2026-02-28T18:55:58.680611
EST_CAL_030,Ingenieria_Sistemas,4,Virtual,3.08,3.0500000000000003,1,0,0.3,1,10,0,0,0,3,0,1,20,0,0,1,0,0,1,4,1,0.5,0,0,1,0.5,0.5,,2026-02-28T18:55:58.680611
EST_CAL_031,Contaduria,5,Diurna,3.27,2.99,2,0,0.3,1,10,0,0,0,3,0,1,16,0,0,1,0,0,1,4,1,0.5,0,0,1,0.5,0.5,,2026-02-28T18:55:58.680611
EST_CAL_032,Ingenieria_Sistemas,1,Diurna,4.44,4.3500000000000005,0,0,0.3,1,10,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0.95,0,0,1,0.5,0.5,,2026-02-28T18:55:58.680611
EST_CAL_033,Ingenieria_Sistemas,6,Diurna,4.65,4.6000000000000005,0,0,0.3,1,10,0,0,0,3,0,0,0,0,0,0,0,0,0,10,0,0.95,0,0,1,0.5,0.5,,2026-02-28T18:55:58.680611
EST_CAL_034,Contaduria,8,Diurna,3.38,3.2399999999999998,1,0,0.3,1,10,0,0,0,3,0,1,23,1,0,1,0,0,1,6,0,0.5,0,0,1,0.5,0.5,,2026-02-28T18:55:58.680611
EST_CAL_035,Administracion,10,Virtual,3.07,2.83,1,0,0.3,1,10,0,0,0,3,0,1,23,1,0,1,0,0,1,4,1,0.5,0,0,1,0.5,0.5,,2026-02-28T18:55:58.680611
EST_CAL_036,Psicologia,3,Diurna,4.06,3.8999999999999995,0,0,0.3,1,10,0,0,0,3,0,0,0,0,0,0,0,0,0,10,0,0.95,0,0,1,0.5,0.5,,2026-02-28T18:55:58.681612
EST_CAL_037,Contaduria,10,Virtual,4.88,4.83,0,0,0.3,1,10,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0.95,0,0,1,0.5,0.5,,2026-02-28T18:55:58.681612
EST_CAL_038,Psicologia,3,Virtual,3.28,3.03,1,0,0.3,1,10,0,0,0,3,0,1,17,0,0,1,0,0,1,4,1,0.5,0,0,1,0.5,0.5,,2026-02-28T18:55:58.681612
EST_CAL_039,Administracion,3,Nocturna,4.17,3.92,0,0,0.3,1,10,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0.95,0,0,1,0.5,0.5,,2026-02-28T18:55:58.681612
EST_CAL_040,Contaduria,6,Nocturna,3.32,3.2199999999999998,2,0,0.3,1,10,0,0,0,3,0,1,20,0,0,1,0,0,1,6,0,0.5,0,0,1,0.5,0.5,,2026-02-28T18:55:58.681612
EST_CAL_041,Administracion,2,Nocturna,3.28,3.1599999999999997,1,0,0.3,1,10,0,0,0,3,0,1,25,1,0,1,0,0,1,4,1,0.5,0,0,1,0.5,0.5,,2026-02-28T18:55:58.681612
EST_CAL_042,Contaduria,7,Virtual,3.33,3.06,1,0,0.3,1,10,0,0,0,3,0,1,25,1,0,1,0,0,1,4,1,0.5,0,0,1,0.5,0.5,,2026-02-28T18:55:58.681612
EST_CAL_043,Ingenieria_Sistemas,4,Nocturna,4.36,4.25,0,0,0.3,1,10,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0.95,0,0,1,0.5,0.5,,2026-02-28T18:55:58.681612
EST_CAL_044,Administracion,2,Nocturna,4.51,4.3999999999999995,0,0,0.3,1,10,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0.95,0,0,1,0.5,0.5,,2026-02-28T18:55:58.682612
EST_CAL_045,Derecho,5,Diurna,4.99,4.970000000000001,0,0,0.3,1,10,0,0,0,3,0,0,0,0,0,0,0,0,0,10,0,0.95,0,0,1,0.5,0.5,,2026-02-28T18:55:58.682612
